Scenario;Metamodel;Metric;Value
AdHocSubProcess (1);org.eclipse.bpmn2;number of modules;5
AdHocSubProcess (1);org.eclipse.bpmn2;number of nodes;176
AdHocSubProcess (1);org.eclipse.bpmn2;number of edges;458
AdHocSubProcess (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
AdHocSubProcess (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454607
AdHocSubProcess (1);org.eclipse.bpmn2;inter module coupling;52.4244287800409
AdHocSubProcess (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394589
AdHocSubProcess (1);mbpmn;number of modules;12
AdHocSubProcess (1);mbpmn;number of nodes;73
AdHocSubProcess (1);mbpmn;number of edges;167
AdHocSubProcess (1);mbpmn;hypergraph size;460.93258309669505
AdHocSubProcess (1);mbpmn;hypergraph complexity;760.1978359568832
AdHocSubProcess (1);mbpmn;inter module coupling;236.325465459837
AdHocSubProcess (1);mbpmn;graph cohesion;0.022906393829320578
Artifact (1);org.eclipse.bpmn2;number of modules;5
Artifact (1);org.eclipse.bpmn2;number of nodes;176
Artifact (1);org.eclipse.bpmn2;number of edges;458
Artifact (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
Artifact (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
Artifact (1);org.eclipse.bpmn2;inter module coupling;52.4244287800409
Artifact (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
Artifact (1);mbpmn;number of modules;6
Artifact (1);mbpmn;number of nodes;27
Artifact (1);mbpmn;number of edges;51
Artifact (1);mbpmn;hypergraph size;136.02346786357202
Artifact (1);mbpmn;hypergraph complexity;223.7249235168273
Artifact (1);mbpmn;inter module coupling;45.48625060585853
Artifact (1);mbpmn;graph cohesion;0.06325970720932948
Auditing (1);org.eclipse.bpmn2;number of modules;5
Auditing (1);org.eclipse.bpmn2;number of nodes;176
Auditing (1);org.eclipse.bpmn2;number of edges;458
Auditing (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
Auditing (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
Auditing (1);org.eclipse.bpmn2;inter module coupling;52.4244287800409
Auditing (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
Auditing (1);mbpmn;number of modules;7
Auditing (1);mbpmn;number of nodes;31
Auditing (1);mbpmn;number of edges;59
Auditing (1);mbpmn;hypergraph size;161.4206118194705
Auditing (1);mbpmn;hypergraph complexity;250.66279267032726
Auditing (1);mbpmn;inter module coupling;52.42442878004087
Auditing (1);mbpmn;graph cohesion;0.051761830959287776
BoundaryEvent (1);org.eclipse.bpmn2;number of modules;5
