Scenario;Metamodel;Metric;Value
AdHocSubProcess;org.eclipse.bpmn2;number of modules;5
AdHocSubProcess;org.eclipse.bpmn2;number of nodes;176
AdHocSubProcess;org.eclipse.bpmn2;number of edges;458
AdHocSubProcess;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
AdHocSubProcess;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454607
AdHocSubProcess;org.eclipse.bpmn2;inter module coupling;52.4244287800409
AdHocSubProcess;org.eclipse.bpmn2;graph cohesion;0.008805468347394589
AdHocSubProcess;mbpmn;number of modules;12
AdHocSubProcess;mbpmn;number of nodes;73
AdHocSubProcess;mbpmn;number of edges;167
AdHocSubProcess;mbpmn;hypergraph size;460.93258309669505
AdHocSubProcess;mbpmn;hypergraph complexity;760.1978359568832
AdHocSubProcess;mbpmn;inter module coupling;236.325465459837
AdHocSubProcess;mbpmn;graph cohesion;0.022906393829320578
Artifact;org.eclipse.bpmn2;number of modules;5
Artifact;org.eclipse.bpmn2;number of nodes;176
Artifact;org.eclipse.bpmn2;number of edges;458
Artifact;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
Artifact;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
Artifact;org.eclipse.bpmn2;inter module coupling;52.4244287800409
Artifact;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
Artifact;mbpmn;number of modules;6
Artifact;mbpmn;number of nodes;27
Artifact;mbpmn;number of edges;51
Artifact;mbpmn;hypergraph size;136.02346786357202
Artifact;mbpmn;hypergraph complexity;223.7249235168273
Artifact;mbpmn;inter module coupling;45.48625060585853
Artifact;mbpmn;graph cohesion;0.06325970720932948
Auditing;org.eclipse.bpmn2;number of modules;5
Auditing;org.eclipse.bpmn2;number of nodes;176
Auditing;org.eclipse.bpmn2;number of edges;458
Auditing;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
Auditing;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
Auditing;org.eclipse.bpmn2;inter module coupling;52.4244287800409
Auditing;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
Auditing;mbpmn;number of modules;7
Auditing;mbpmn;number of nodes;31
Auditing;mbpmn;number of edges;59
Auditing;mbpmn;hypergraph size;161.4206118194705
Auditing;mbpmn;hypergraph complexity;250.66279267032726
Auditing;mbpmn;inter module coupling;52.42442878004087
Auditing;mbpmn;graph cohesion;0.051761830959287776
BoundaryEvent;org.eclipse.bpmn2;number of modules;5
BoundaryEvent;org.eclipse.bpmn2;number of nodes;176
BoundaryEvent;org.eclipse.bpmn2;number of edges;458
BoundaryEvent;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
BoundaryEvent;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
BoundaryEvent;org.eclipse.bpmn2;inter module coupling;52.42442878004087
BoundaryEvent;org.eclipse.bpmn2;graph cohesion;0.008805468347394584
BoundaryEvent;mbpmn;number of modules;12
BoundaryEvent;mbpmn;number of nodes;89
BoundaryEvent;mbpmn;number of edges;201
BoundaryEvent;mbpmn;hypergraph size;585.7015176178826
BoundaryEvent;mbpmn;hypergraph complexity;907.7139389049236
BoundaryEvent;mbpmn;inter module coupling;324.72035934949713
BoundaryEvent;mbpmn;graph cohesion;0.017611241927239035
CategoryValue;org.eclipse.bpmn2;number of modules;5
CategoryValue;org.eclipse.bpmn2;number of nodes;176
CategoryValue;org.eclipse.bpmn2;number of edges;458
CategoryValue;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
CategoryValue;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454616
CategoryValue;org.eclipse.bpmn2;inter module coupling;52.42442878004087
CategoryValue;org.eclipse.bpmn2;graph cohesion;0.008805468347394594
CategoryValue;mbpmn;number of modules;8
CategoryValue;mbpmn;number of nodes;31
CategoryValue;mbpmn;number of edges;57
CategoryValue;mbpmn;hypergraph size;161.4206118194705
CategoryValue;mbpmn;hypergraph complexity;250.14402232672924
CategoryValue;mbpmn;inter module coupling;51.57379665844226
CategoryValue;mbpmn;graph cohesion;0.05165470495727546
ComplexBehaviorDefinition;org.eclipse.bpmn2;number of modules;5
ComplexBehaviorDefinition;org.eclipse.bpmn2;number of nodes;176
ComplexBehaviorDefinition;org.eclipse.bpmn2;number of edges;458
ComplexBehaviorDefinition;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ComplexBehaviorDefinition;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
ComplexBehaviorDefinition;org.eclipse.bpmn2;inter module coupling;52.4244287800409
ComplexBehaviorDefinition;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
ComplexBehaviorDefinition;mbpmn;number of modules;12
ComplexBehaviorDefinition;mbpmn;number of nodes;79
ComplexBehaviorDefinition;mbpmn;number of edges;190
ComplexBehaviorDefinition;mbpmn;hypergraph size;507.18800023076994
ComplexBehaviorDefinition;mbpmn;hypergraph complexity;884.7362696947938
ComplexBehaviorDefinition;mbpmn;inter module coupling;294.148361806705
ComplexBehaviorDefinition;mbpmn;graph cohesion;0.022364039928456193
CorrelationSubscription;org.eclipse.bpmn2;number of modules;5
CorrelationSubscription;org.eclipse.bpmn2;number of nodes;176
CorrelationSubscription;org.eclipse.bpmn2;number of edges;458
CorrelationSubscription;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
CorrelationSubscription;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
CorrelationSubscription;org.eclipse.bpmn2;inter module coupling;52.42442878004087
CorrelationSubscription;org.eclipse.bpmn2;graph cohesion;0.00880546834739458
CorrelationSubscription;mbpmn;number of modules;8
CorrelationSubscription;mbpmn;number of nodes;34
CorrelationSubscription;mbpmn;number of edges;67
CorrelationSubscription;mbpmn;hypergraph size;180.94737505048096
