Mode;Model;Resource;Metamodel;Util
Full;-_Schufa_9831eb834a924b9f9c4591000c9387ef.bpmn;-_Schufa_9831eb834a924b9f9c4591000c9387ef.bpmn;org.eclipse.bpmn2;0.30128205128205127
Full;-_Schufa_9831eb834a924b9f9c4591000c9387ef.bpmn;-_Schufa_9831eb834a924b9f9c4591000c9387ef.bpmn;mbpmn;0.5161290322580645
Full;-_Task_1_cb967b14c29e4f8f9d182d67559547a2.bpmn;-_Task_1_cb967b14c29e4f8f9d182d67559547a2.bpmn;org.eclipse.bpmn2;0.28205128205128205
Full;-_Task_1_cb967b14c29e4f8f9d182d67559547a2.bpmn;-_Task_1_cb967b14c29e4f8f9d182d67559547a2.bpmn;mbpmn;0.5769230769230769
Full;-_Task_3_84c455b8b0db45b388e7e176598502a9.bpmn;-_Task_3_84c455b8b0db45b388e7e176598502a9.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;-_Task_3_84c455b8b0db45b388e7e176598502a9.bpmn;-_Task_3_84c455b8b0db45b388e7e176598502a9.bpmn;mbpmn;0.5376344086021505
Full;-__bung_1_887e88cab0d94585a5c6fb3e3ac12469.bpmn;-__bung_1_887e88cab0d94585a5c6fb3e3ac12469.bpmn;org.eclipse.bpmn2;0.30128205128205127
Full;-__bung_1_887e88cab0d94585a5c6fb3e3ac12469.bpmn;-__bung_1_887e88cab0d94585a5c6fb3e3ac12469.bpmn;mbpmn;0.5925925925925926
Full;-__bung_3_2bdcf0e75ba0441a9c2e775e9b3555b8.bpmn;-__bung_3_2bdcf0e75ba0441a9c2e775e9b3555b8.bpmn;org.eclipse.bpmn2;0.3076923076923077
Full;-__bung_3_2bdcf0e75ba0441a9c2e775e9b3555b8.bpmn;-__bung_3_2bdcf0e75ba0441a9c2e775e9b3555b8.bpmn;mbpmn;0.5268817204301075
Full;-__bung_3_aa020f86ca734ca78c9e1dfb8c92b088.bpmn;-__bung_3_aa020f86ca734ca78c9e1dfb8c92b088.bpmn;org.eclipse.bpmn2;0.28205128205128205
Full;-__bung_3_aa020f86ca734ca78c9e1dfb8c92b088.bpmn;-__bung_3_aa020f86ca734ca78c9e1dfb8c92b088.bpmn;mbpmn;0.5172413793103449
Full;-__bung_7_0baaba4c86fa488e88f74bd7dabad073.bpmn;-__bung_7_0baaba4c86fa488e88f74bd7dabad073.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;-__bung_7_0baaba4c86fa488e88f74bd7dabad073.bpmn;-__bung_7_0baaba4c86fa488e88f74bd7dabad073.bpmn;mbpmn;0.5376344086021505
Full;-__bung_7_fe81e155c2d94fe084b74e23102f684f.bpmn;-__bung_7_fe81e155c2d94fe084b74e23102f684f.bpmn;org.eclipse.bpmn2;0.3076923076923077
Full;-__bung_7_fe81e155c2d94fe084b74e23102f684f.bpmn;-__bung_7_fe81e155c2d94fe084b74e23102f684f.bpmn;mbpmn;0.5268817204301075
Full;-__bung_8_d53e88c969ba4f81b6a2fd1053bd704d.bpmn;-__bung_8_d53e88c969ba4f81b6a2fd1053bd704d.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;-__bung_8_d53e88c969ba4f81b6a2fd1053bd704d.bpmn;-__bung_8_d53e88c969ba4f81b6a2fd1053bd704d.bpmn;mbpmn;0.5578947368421052
Full;0;0.bpmn;org.eclipse.bpmn2;0.358974358974359
Full;0;0.bpmn;mbpmn;0.5181818181818182
Full;01Warenversand_39f5a5faf1c5480a9b04bc7bb39fb095.bpmn;01Warenversand_39f5a5faf1c5480a9b04bc7bb39fb095.bpmn;org.eclipse.bpmn2;0.2564102564102564
Full;01Warenversand_39f5a5faf1c5480a9b04bc7bb39fb095.bpmn;01Warenversand_39f5a5faf1c5480a9b04bc7bb39fb095.bpmn;mbpmn;0.5694444444444444
Full;01_-_Vorbereitung_Warenversand_e29ad857608345f4a3c8ee5eefc44129.bpmn;01_-_Vorbereitung_Warenversand_e29ad857608345f4a3c8ee5eefc44129.bpmn;org.eclipse.bpmn2;0.28846153846153844
Full;01_-_Vorbereitung_Warenversand_e29ad857608345f4a3c8ee5eefc44129.bpmn;01_-_Vorbereitung_Warenversand_e29ad857608345f4a3c8ee5eefc44129.bpmn;mbpmn;0.4946236559139785
Full;02Regressnahme_fe2a7ad5737d4474908913c52950a268.bpmn;02Regressnahme_fe2a7ad5737d4474908913c52950a268.bpmn;org.eclipse.bpmn2;0.28846153846153844
Full;02Regressnahme_fe2a7ad5737d4474908913c52950a268.bpmn;02Regressnahme_fe2a7ad5737d4474908913c52950a268.bpmn;mbpmn;0.5287356321839081
Full;03_-_Regressnahme_25cbac3aa336467199f85f29f8db84c5.bpmn;03_-_Regressnahme_25cbac3aa336467199f85f29f8db84c5.bpmn;org.eclipse.bpmn2;0.3076923076923077
