Scenario;Metamodel;Metric;Value
Arm;edu.kit.ipd.sdq.kamp;number of modules;9
Arm;edu.kit.ipd.sdq.kamp;number of nodes;118
Arm;edu.kit.ipd.sdq.kamp;number of edges;230
Arm;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
Arm;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942806
Arm;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280306
Arm;edu.kit.ipd.sdq.kamp;graph cohesion;0.01108611934488319
Arm;mkamp;number of modules;17
Arm;mkamp;number of nodes;110
Arm;mkamp;number of edges;219
Arm;mkamp;hypergraph size;755.6163963483939
Arm;mkamp;hypergraph complexity;1059.4140043954021
Arm;mkamp;inter module coupling;884.5900731028373
Arm;mkamp;graph cohesion;0.01286286875550579
ConveyorBelt;edu.kit.ipd.sdq.kamp;number of modules;9
ConveyorBelt;edu.kit.ipd.sdq.kamp;number of nodes;118
ConveyorBelt;edu.kit.ipd.sdq.kamp;number of edges;230
ConveyorBelt;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
ConveyorBelt;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942806
ConveyorBelt;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280294
ConveyorBelt;edu.kit.ipd.sdq.kamp;graph cohesion;0.01108611934488319
ConveyorBelt;mkamp;number of modules;11
ConveyorBelt;mkamp;number of nodes;60
ConveyorBelt;mkamp;number of edges;128
ConveyorBelt;mkamp;hypergraph size;363.2059749335994
ConveyorBelt;mkamp;hypergraph complexity;650.6529736835562
ConveyorBelt;mkamp;inter module coupling;535.6400128687401
ConveyorBelt;mkamp;graph cohesion;0.030362982065829842
DocuApplication;edu.kit.ipd.sdq.kamp;number of modules;10
DocuApplication;edu.kit.ipd.sdq.kamp;number of nodes;158
DocuApplication;edu.kit.ipd.sdq.kamp;number of edges;336
DocuApplication;edu.kit.ipd.sdq.kamp;hypergraph size;1164.1865670870911
DocuApplication;edu.kit.ipd.sdq.kamp;hypergraph complexity;1433.0694923028786
DocuApplication;edu.kit.ipd.sdq.kamp;inter module coupling;465.71719866159754
DocuApplication;edu.kit.ipd.sdq.kamp;graph cohesion;0.007840522661246265
DocuApplication;mkamp;number of modules;7
DocuApplication;mkamp;number of nodes;51
DocuApplication;mkamp;number of edges;134
DocuApplication;mkamp;hypergraph size;297.8518636372863
DocuApplication;mkamp;hypergraph complexity;572.4694855448693
DocuApplication;mkamp;inter module coupling;208.892198157895
DocuApplication;mkamp;graph cohesion;0.03843987937856268
DocumentationFiles;edu.kit.ipd.sdq.kamp;number of modules;10
DocumentationFiles;edu.kit.ipd.sdq.kamp;number of nodes;158
DocumentationFiles;edu.kit.ipd.sdq.kamp;number of edges;336
DocumentationFiles;edu.kit.ipd.sdq.kamp;hypergraph size;1164.1865670870911
DocumentationFiles;edu.kit.ipd.sdq.kamp;hypergraph complexity;1433.0694923028796
DocumentationFiles;edu.kit.ipd.sdq.kamp;inter module coupling;465.7171986615973
DocumentationFiles;edu.kit.ipd.sdq.kamp;graph cohesion;0.007840522661246267
DocumentationFiles;mkamp;number of modules;7
DocumentationFiles;mkamp;number of nodes;51
DocumentationFiles;mkamp;number of edges;134
DocumentationFiles;mkamp;hypergraph size;297.8518636372863
DocumentationFiles;mkamp;hypergraph complexity;572.469485544869
DocumentationFiles;mkamp;inter module coupling;208.892198157895
DocumentationFiles;mkamp;graph cohesion;0.038439879378562664
EtherCATSlave;edu.kit.ipd.sdq.kamp;number of modules;9
EtherCATSlave;edu.kit.ipd.sdq.kamp;number of nodes;118
EtherCATSlave;edu.kit.ipd.sdq.kamp;number of edges;230
EtherCATSlave;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
EtherCATSlave;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
EtherCATSlave;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280294
EtherCATSlave;edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883188
EtherCATSlave;mkamp;number of modules;12
EtherCATSlave;mkamp;number of nodes;68
EtherCATSlave;mkamp;number of edges;136
EtherCATSlave;mkamp;hypergraph size;422.9205281692027
EtherCATSlave;mkamp;hypergraph complexity;655.9826484303223
EtherCATSlave;mkamp;inter module coupling;542.4873035321743
EtherCATSlave;mkamp;graph cohesion;0.023150415137924887
FoAARepo;edu.kit.ipd.sdq.kamp;number of modules;10
FoAARepo;edu.kit.ipd.sdq.kamp;number of nodes;158
FoAARepo;edu.kit.ipd.sdq.kamp;number of edges;336
FoAARepo;edu.kit.ipd.sdq.kamp;hypergraph size;1164.1865670870911
FoAARepo;edu.kit.ipd.sdq.kamp;hypergraph complexity;1433.0694923028796
FoAARepo;edu.kit.ipd.sdq.kamp;inter module coupling;465.7171986615973
FoAARepo;edu.kit.ipd.sdq.kamp;graph cohesion;0.007840522661246272
FoAARepo;mkamp;number of modules;7
FoAARepo;mkamp;number of nodes;51
FoAARepo;mkamp;number of edges;134
FoAARepo;mkamp;hypergraph size;297.8518636372863
FoAARepo;mkamp;hypergraph complexity;572.469485544869
FoAARepo;mkamp;inter module coupling;208.892198157895
FoAARepo;mkamp;graph cohesion;0.038439879378562664
HWPropagation;edu.kit.ipd.sdq.kamp;number of modules;12
HWPropagation;edu.kit.ipd.sdq.kamp;number of nodes;164
HWPropagation;edu.kit.ipd.sdq.kamp;number of edges;347
HWPropagation;edu.kit.ipd.sdq.kamp;hypergraph size;1216.881506172242
HWPropagation;edu.kit.ipd.sdq.kamp;hypergraph complexity;1695.2834493185965
HWPropagation;edu.kit.ipd.sdq.kamp;inter module coupling;708.0104615877364
HWPropagation;edu.kit.ipd.sdq.kamp;graph cohesion;0.004521929891143405
HWPropagation;mkamp;number of modules;9
HWPropagation;mkamp;number of nodes;48
HWPropagation;mkamp;number of edges;126
HWPropagation;mkamp;hypergraph size;276.54895329896146
HWPropagation;mkamp;hypergraph complexity;619.8562977622178
HWPropagation;mkamp;inter module coupling;328.5005694098709
HWPropagation;mkamp;graph cohesion;0.014522219638819344
MechanicalAssembly;edu.kit.ipd.sdq.kamp;number of modules;9
MechanicalAssembly;edu.kit.ipd.sdq.kamp;number of nodes;118
MechanicalAssembly;edu.kit.ipd.sdq.kamp;number of edges;230
MechanicalAssembly;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
MechanicalAssembly;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
MechanicalAssembly;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280306
MechanicalAssembly;edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883188
MechanicalAssembly;mkamp;number of modules;11
MechanicalAssembly;mkamp;number of nodes;60
MechanicalAssembly;mkamp;number of edges;128
MechanicalAssembly;mkamp;hypergraph size;363.2059749335994
MechanicalAssembly;mkamp;hypergraph complexity;650.6529736835562
MechanicalAssembly;mkamp;inter module coupling;535.6400128687401
MechanicalAssembly;mkamp;graph cohesion;0.030362982065829842
ModifyMicroSwitch;edu.kit.ipd.sdq.kamp;number of modules;12
ModifyMicroSwitch;edu.kit.ipd.sdq.kamp;number of nodes;164
ModifyMicroSwitch;edu.kit.ipd.sdq.kamp;number of edges;347
ModifyMicroSwitch;edu.kit.ipd.sdq.kamp;hypergraph size;1216.881506172242
ModifyMicroSwitch;edu.kit.ipd.sdq.kamp;hypergraph complexity;1695.2834493185992
ModifyMicroSwitch;edu.kit.ipd.sdq.kamp;inter module coupling;708.010461587737
ModifyMicroSwitch;edu.kit.ipd.sdq.kamp;graph cohesion;0.004521929891143408
ModifyMicroSwitch;mkamp;number of modules;21
ModifyMicroSwitch;mkamp;number of nodes;148
ModifyMicroSwitch;mkamp;number of edges;318
ModifyMicroSwitch;mkamp;hypergraph size;1077.0939848838864
ModifyMicroSwitch;mkamp;hypergraph complexity;1488.175715415385
ModifyMicroSwitch;mkamp;inter module coupling;1094.0006473902251
ModifyMicroSwitch;mkamp;graph cohesion;0.005981664792075843
ModifyModule;edu.kit.ipd.sdq.kamp;number of modules;12
ModifyModule;edu.kit.ipd.sdq.kamp;number of nodes;164
ModifyModule;edu.kit.ipd.sdq.kamp;number of edges;347
ModifyModule;edu.kit.ipd.sdq.kamp;hypergraph size;1216.881506172242
ModifyModule;edu.kit.ipd.sdq.kamp;hypergraph complexity;1695.283449318597
ModifyModule;edu.kit.ipd.sdq.kamp;inter module coupling;708.0104615877368
ModifyModule;edu.kit.ipd.sdq.kamp;graph cohesion;0.004521929891143401
ModifyModule;mkamp;number of modules;9
ModifyModule;mkamp;number of nodes;48
ModifyModule;mkamp;number of edges;126
