Mode;Model;Resource;Metamodel;Util
Full;S_KAMP4aPS_Component_Scenario;My.aps My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.2391304347826087
Full;S_KAMP4aPS_Component_Scenario;My.aps My.fieldofactivityannotations;mkamp;0.8627450980392157
Single;S_KAMP4aPS_Component_Scenario;My.aps;edu.kit.ipd.sdq.kamp;0.04891304347826087
Single;S_KAMP4aPS_Component_Scenario;My.aps;mkamp;0.8181818181818182
Single;S_KAMP4aPS_Component_Scenario;My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.19021739130434784
Single;S_KAMP4aPS_Component_Scenario;My.fieldofactivityannotations;mkamp;0.875
Full;S_KAMP4aPS_Component_Scenario_mod;My.aps My.fieldofactivityannotations My.modificationmarks;edu.kit.ipd.sdq.kamp;0.30978260869565216
Full;S_KAMP4aPS_Component_Scenario_mod;My.aps My.fieldofactivityannotations My.modificationmarks;mkamp;0.8382352941176471
Single;S_KAMP4aPS_Component_Scenario_mod;My.aps;edu.kit.ipd.sdq.kamp;0.04891304347826087
Single;S_KAMP4aPS_Component_Scenario_mod;My.aps;mkamp;0.8181818181818182
Single;S_KAMP4aPS_Component_Scenario_mod;My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.19021739130434784
Single;S_KAMP4aPS_Component_Scenario_mod;My.fieldofactivityannotations;mkamp;0.875
Single;S_KAMP4aPS_Component_Scenario_mod;My.modificationmarks;edu.kit.ipd.sdq.kamp;0.07065217391304347
Single;S_KAMP4aPS_Component_Scenario_mod;My.modificationmarks;mkamp;0.7647058823529411
Full;S_KAMP4aPS_Interface_Scenario;My.aps My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.2391304347826087
Full;S_KAMP4aPS_Interface_Scenario;My.aps My.fieldofactivityannotations;mkamp;0.8627450980392157
Single;S_KAMP4aPS_Interface_Scenario;My.aps;edu.kit.ipd.sdq.kamp;0.04891304347826087
Single;S_KAMP4aPS_Interface_Scenario;My.aps;mkamp;0.8181818181818182
Single;S_KAMP4aPS_Interface_Scenario;My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.19021739130434784
Single;S_KAMP4aPS_Interface_Scenario;My.fieldofactivityannotations;mkamp;0.875
Full;S_KAMP4aPS_Interface_Scenario_mod;My.aps My.fieldofactivityannotations My1.modificationmarks;edu.kit.ipd.sdq.kamp;0.30978260869565216
