Scenario;Metamodel;Metric;Value
IntBIIS (1);PCM;number of modules;29
IntBIIS (1);PCM;number of nodes;245
IntBIIS (1);PCM;number of edges;582
IntBIIS (1);PCM;hypergraph size;1955.2983389698315
IntBIIS (1);PCM;hypergraph complexity;1859.9650138417878
IntBIIS (1);PCM;inter module coupling;359.38937411038705
IntBIIS (1);PCM;graph cohesion;0.003898539308223404
IntBIIS (1);mPCM;number of modules;12
IntBIIS (1);mPCM;number of nodes;111
IntBIIS (1);mPCM;number of edges;194
IntBIIS (1);mPCM;hypergraph size;761.8600437905011
IntBIIS (1);mPCM;hypergraph complexity;611.257144910888
IntBIIS (1);mPCM;inter module coupling;175.07303712298824
IntBIIS (1);mPCM;graph cohesion;0.007274739896039878
KAMP (1);PCM;number of modules;21
KAMP (1);PCM;number of nodes;199
KAMP (1);PCM;number of edges;500
KAMP (1);PCM;hypergraph size;1530.2103382357868
KAMP (1);PCM;hypergraph complexity;1710.7829846287873
KAMP (1);PCM;inter module coupling;414.48726758699297
KAMP (1);PCM;graph cohesion;0.005646490478000171
KAMP (1);mPCM;number of modules;11
KAMP (1);mPCM;number of nodes;102
KAMP (1);mPCM;number of edges;175
KAMP (1);mPCM;hypergraph size;688.1452909685327
KAMP (1);mPCM;hypergraph complexity;576.3313104945278
KAMP (1);mPCM;inter module coupling;202.67381694368862
KAMP (1);mPCM;graph cohesion;0.008268187400000532
