Scenario;Metamodel;Metric;Value
AttributeTypes (1);PCM;number of modules;21
AttributeTypes (1);PCM;number of nodes;199
AttributeTypes (1);PCM;number of edges;500
AttributeTypes (1);PCM;hypergraph size;1530.2103382357868
AttributeTypes (1);PCM;hypergraph complexity;1710.7829846287905
AttributeTypes (1);PCM;inter module coupling;414.4872675869932
AttributeTypes (1);PCM;graph cohesion;0.005646490478000182
AttributeTypes (1);mPCM;number of modules;14
AttributeTypes (1);mPCM;number of nodes;134
AttributeTypes (1);mPCM;number of edges;246
AttributeTypes (1);mPCM;hypergraph size;954.8074835687961
AttributeTypes (1);mPCM;hypergraph complexity;797.2601528427913
AttributeTypes (1);mPCM;inter module coupling;276.1903526034797
AttributeTypes (1);mPCM;graph cohesion;0.006265040086288657
CallAction (1);PCM;number of modules;21
CallAction (1);PCM;number of nodes;199
CallAction (1);PCM;number of edges;500
CallAction (1);PCM;hypergraph size;1530.2103382357868
CallAction (1);PCM;hypergraph complexity;1710.782984628786
CallAction (1);PCM;inter module coupling;414.48726758699297
CallAction (1);PCM;graph cohesion;0.005646490478000169
CallAction (1);mPCM;number of modules;11
CallAction (1);mPCM;number of nodes;113
CallAction (1);mPCM;number of edges;195
CallAction (1);mPCM;hypergraph size;778.385865807659
CallAction (1);mPCM;hypergraph complexity;609.3409267428048
CallAction (1);mPCM;inter module coupling;197.64809565663455
CallAction (1);mPCM;graph cohesion;0.0069716075433328886
ComLinkResType (2);PCM;number of modules;21
ComLinkResType (2);PCM;number of nodes;199
ComLinkResType (2);PCM;number of edges;500
ComLinkResType (2);PCM;hypergraph size;1530.2103382357868
ComLinkResType (2);PCM;hypergraph complexity;1710.7829846287882
ComLinkResType (2);PCM;inter module coupling;414.48726758699297
ComLinkResType (2);PCM;graph cohesion;0.005646490478000177
ComLinkResType (2);mPCM;number of modules;4
ComLinkResType (2);mPCM;number of nodes;16
ComLinkResType (2);mPCM;number of edges;21
ComLinkResType (2);mPCM;hypergraph size;68.88872502451932
ComLinkResType (2);mPCM;hypergraph complexity;62.59557359053798
ComLinkResType (2);mPCM;inter module coupling;17.368395350809596
ComLinkResType (2);mPCM;graph cohesion;0.05886744666272117
LocalRoleConstraint (1);PCM;number of modules;21
LocalRoleConstraint (1);PCM;number of nodes;199
LocalRoleConstraint (1);PCM;number of edges;500
LocalRoleConstraint (1);PCM;hypergraph size;1530.2103382357868
LocalRoleConstraint (1);PCM;hypergraph complexity;1710.7829846287877
LocalRoleConstraint (1);PCM;inter module coupling;414.4872675869934
LocalRoleConstraint (1);PCM;graph cohesion;0.005646490478000175
LocalRoleConstraint (1);mPCM;number of modules;17
LocalRoleConstraint (1);mPCM;number of nodes;137
LocalRoleConstraint (1);mPCM;number of edges;249
LocalRoleConstraint (1);mPCM;hypergraph size;980.4138680358437
LocalRoleConstraint (1);mPCM;hypergraph complexity;825.705268456253
LocalRoleConstraint (1);mPCM;inter module coupling;342.2312687616951
LocalRoleConstraint (1);mPCM;graph cohesion;0.0061800453613294936
MultiAllocation (1);PCM;number of modules;22
MultiAllocation (1);PCM;number of nodes;201
MultiAllocation (1);PCM;number of edges;509
MultiAllocation (1);PCM;hypergraph size;1548.3978552714061
MultiAllocation (1);PCM;hypergraph complexity;1766.0246896888116
MultiAllocation (1);PCM;inter module coupling;462.7483297943385
MultiAllocation (1);PCM;graph cohesion;0.005702748436638914
MultiAllocation (1);mPCM;number of modules;13
MultiAllocation (1);mPCM;number of nodes;108
MultiAllocation (1);mPCM;number of edges;194
