Scenario;Metamodel;Metric;Value
AttributeTypes;PCM;number of modules;21
AttributeTypes;PCM;number of nodes;199
AttributeTypes;PCM;number of edges;500
AttributeTypes;PCM;hypergraph size;1530.2103382357868
AttributeTypes;PCM;hypergraph complexity;1710.7829846287905
AttributeTypes;PCM;inter module coupling;414.4872675869932
AttributeTypes;PCM;graph cohesion;0.005646490478000182
AttributeTypes;mPCM;number of modules;14
AttributeTypes;mPCM;number of nodes;134
AttributeTypes;mPCM;number of edges;246
AttributeTypes;mPCM;hypergraph size;954.8074835687961
AttributeTypes;mPCM;hypergraph complexity;797.2601528427913
AttributeTypes;mPCM;inter module coupling;276.1903526034797
AttributeTypes;mPCM;graph cohesion;0.006265040086288657
CallAction;PCM;number of modules;21
CallAction;PCM;number of nodes;199
CallAction;PCM;number of edges;500
CallAction;PCM;hypergraph size;1530.2103382357868
CallAction;PCM;hypergraph complexity;1710.782984628786
CallAction;PCM;inter module coupling;414.48726758699297
CallAction;PCM;graph cohesion;0.005646490478000169
CallAction;mPCM;number of modules;11
CallAction;mPCM;number of nodes;113
CallAction;mPCM;number of edges;195
CallAction;mPCM;hypergraph size;778.385865807659
CallAction;mPCM;hypergraph complexity;609.3409267428048
CallAction;mPCM;inter module coupling;197.64809565663455
CallAction;mPCM;graph cohesion;0.0069716075433328886
ComLinkResType;PCM;number of modules;21
ComLinkResType;PCM;number of nodes;199
ComLinkResType;PCM;number of edges;500
ComLinkResType;PCM;hypergraph size;1530.2103382357868
ComLinkResType;PCM;hypergraph complexity;1710.7829846287882
ComLinkResType;PCM;inter module coupling;414.48726758699297
ComLinkResType;PCM;graph cohesion;0.005646490478000177
ComLinkResType;mPCM;number of modules;4
ComLinkResType;mPCM;number of nodes;16
ComLinkResType;mPCM;number of edges;21
ComLinkResType;mPCM;hypergraph size;68.88872502451932
ComLinkResType;mPCM;hypergraph complexity;62.59557359053798
ComLinkResType;mPCM;inter module coupling;17.368395350809596
ComLinkResType;mPCM;graph cohesion;0.05886744666272117
LocalRoleConstraint;PCM;number of modules;21
LocalRoleConstraint;PCM;number of nodes;199
LocalRoleConstraint;PCM;number of edges;500
LocalRoleConstraint;PCM;hypergraph size;1530.2103382357868
LocalRoleConstraint;PCM;hypergraph complexity;1710.7829846287877
LocalRoleConstraint;PCM;inter module coupling;414.4872675869934
LocalRoleConstraint;PCM;graph cohesion;0.005646490478000175
LocalRoleConstraint;mPCM;number of modules;17
LocalRoleConstraint;mPCM;number of nodes;137
LocalRoleConstraint;mPCM;number of edges;249
LocalRoleConstraint;mPCM;hypergraph size;980.4138680358437
LocalRoleConstraint;mPCM;hypergraph complexity;825.705268456253
LocalRoleConstraint;mPCM;inter module coupling;342.2312687616951
LocalRoleConstraint;mPCM;graph cohesion;0.0061800453613294936
MultiAllocation;PCM;number of modules;22
MultiAllocation;PCM;number of nodes;201
MultiAllocation;PCM;number of edges;509
MultiAllocation;PCM;hypergraph size;1548.3978552714061
MultiAllocation;PCM;hypergraph complexity;1766.0246896888116
MultiAllocation;PCM;inter module coupling;462.7483297943385
MultiAllocation;PCM;graph cohesion;0.005702748436638914
MultiAllocation;mPCM;number of modules;13
MultiAllocation;mPCM;number of nodes;108
MultiAllocation;mPCM;number of edges;194
MultiAllocation;mPCM;hypergraph size;737.168208774188
MultiAllocation;mPCM;hypergraph complexity;650.7214688284871
MultiAllocation;mPCM;inter module coupling;249.50560995448865
MultiAllocation;mPCM;graph cohesion;0.00822750354017148
ProcResSpec;PCM;number of modules;21
ProcResSpec;PCM;number of nodes;199
ProcResSpec;PCM;number of edges;500
ProcResSpec;PCM;hypergraph size;1530.2103382357868
ProcResSpec;PCM;hypergraph complexity;1710.7829846287868
ProcResSpec;PCM;inter module coupling;414.4872675869934
ProcResSpec;PCM;graph cohesion;0.005646490478000171
ProcResSpec;mPCM;number of modules;6
ProcResSpec;mPCM;number of nodes;24
ProcResSpec;mPCM;number of edges;45
ProcResSpec;mPCM;hypergraph size;115.5109929535273
ProcResSpec;mPCM;hypergraph complexity;173.3595061335406
ProcResSpec;mPCM;inter module coupling;62.925287029015124
ProcResSpec;mPCM;graph cohesion;0.06414182743629705
Repository;PCM;number of modules;21
Repository;PCM;number of nodes;199
Repository;PCM;number of edges;500
Repository;PCM;hypergraph size;1530.2103382357868
Repository;PCM;hypergraph complexity;1710.7829846287864
Repository;PCM;inter module coupling;414.4872675869932
Repository;PCM;graph cohesion;0.0056464904780001695
Repository;mPCM;number of modules;9
Repository;mPCM;number of nodes;90
Repository;mPCM;number of edges;143
Repository;mPCM;hypergraph size;591.6441380011883
Repository;mPCM;hypergraph complexity;422.3129298515664
Repository;mPCM;inter module coupling;95.62935106695508
Repository;mPCM;graph cohesion;0.00799315414017666
ResSign;PCM;number of modules;21
ResSign;PCM;number of nodes;199
ResSign;PCM;number of edges;500
ResSign;PCM;hypergraph size;1530.2103382357868
ResSign;PCM;hypergraph complexity;1710.782984628786
ResSign;PCM;inter module coupling;414.4872675869932
ResSign;PCM;graph cohesion;0.005646490478000171
ResSign;mPCM;number of modules;7
ResSign;mPCM;number of nodes;38
ResSign;mPCM;number of edges;65
ResSign;mPCM;hypergraph size;205.55519570060716
ResSign;mPCM;hypergraph complexity;235.64634607976188
ResSign;mPCM;inter module coupling;74.42759803042033
ResSign;mPCM;graph cohesion;0.030684946926140756
ResourceDemandingBehaviour;PCM;number of modules;21
ResourceDemandingBehaviour;PCM;number of nodes;199
ResourceDemandingBehaviour;PCM;number of edges;500
ResourceDemandingBehaviour;PCM;hypergraph size;1530.2103382357868
ResourceDemandingBehaviour;PCM;hypergraph complexity;1710.782984628785
ResourceDemandingBehaviour;PCM;inter module coupling;414.4872675869932
ResourceDemandingBehaviour;PCM;graph cohesion;0.005646490478000165
ResourceDemandingBehaviour;mPCM;number of modules;7
ResourceDemandingBehaviour;mPCM;number of nodes;75
ResourceDemandingBehaviour;mPCM;number of edges;115
ResourceDemandingBehaviour;mPCM;hypergraph size;474.2757770928125
ResourceDemandingBehaviour;mPCM;hypergraph complexity;301.88367850395343
ResourceDemandingBehaviour;mPCM;inter module coupling;37.825491662974244
ResourceDemandingBehaviour;mPCM;graph cohesion;0.008565434912255396
SchedulingPolicy;PCM;number of modules;21
SchedulingPolicy;PCM;number of nodes;199
SchedulingPolicy;PCM;number of edges;500
SchedulingPolicy;PCM;hypergraph size;1530.2103382357868
SchedulingPolicy;PCM;hypergraph complexity;1710.782984628785
SchedulingPolicy;PCM;inter module coupling;414.4872675869932
SchedulingPolicy;PCM;graph cohesion;0.005646490478000165
SchedulingPolicy;mPCM;number of modules;4
SchedulingPolicy;mPCM;number of nodes;16
SchedulingPolicy;mPCM;number of edges;21
SchedulingPolicy;mPCM;hypergraph size;68.88872502451932
SchedulingPolicy;mPCM;hypergraph complexity;62.59557359053798
SchedulingPolicy;mPCM;inter module coupling;17.368395350809596
SchedulingPolicy;mPCM;graph cohesion;0.05886744666272117
SyncPoint;PCM;number of modules;21
SyncPoint;PCM;number of nodes;199
SyncPoint;PCM;number of edges;500
SyncPoint;PCM;hypergraph size;1530.2103382357868
SyncPoint;PCM;hypergraph complexity;1710.782984628786
SyncPoint;PCM;inter module coupling;414.48726758699297
SyncPoint;PCM;graph cohesion;0.005646490478000167
SyncPoint;mPCM;number of modules;7
SyncPoint;mPCM;number of nodes;75
SyncPoint;mPCM;number of edges;115
SyncPoint;mPCM;hypergraph size;474.2757770928125
SyncPoint;mPCM;hypergraph complexity;301.8836785039531
SyncPoint;mPCM;inter module coupling;37.825491662974244
SyncPoint;mPCM;graph cohesion;0.008565434912255386
UniqueCallTargets;PCM;number of modules;21
UniqueCallTargets;PCM;number of nodes;199
UniqueCallTargets;PCM;number of edges;500
UniqueCallTargets;PCM;hypergraph size;1530.2103382357868
UniqueCallTargets;PCM;hypergraph complexity;1710.782984628785
UniqueCallTargets;PCM;inter module coupling;414.4872675869932
UniqueCallTargets;PCM;graph cohesion;0.005646490478000163
UniqueCallTargets;mPCM;number of modules;18
UniqueCallTargets;mPCM;number of nodes;140
UniqueCallTargets;mPCM;number of edges;257
UniqueCallTargets;mPCM;hypergraph size;1006.1143438501603
UniqueCallTargets;mPCM;hypergraph complexity;860.5688132899352
UniqueCallTargets;mPCM;inter module coupling;362.15072358147415
UniqueCallTargets;mPCM;graph cohesion;0.006141309841906606
