Scenario;Metamodel;Metric;Value
AbstractType (1);SmartGrid;number of modules;1
AbstractType (1);SmartGrid;number of nodes;18
AbstractType (1);SmartGrid;number of edges;32
AbstractType (1);SmartGrid;hypergraph size;82.11663380285988
AbstractType (1);SmartGrid;hypergraph complexity;174.84931257357465
AbstractType (1);SmartGrid;inter module coupling;-1.0
AbstractType (1);SmartGrid;graph cohesion;0.12525176939778923
AbstractType (1);mSmartGrid;number of modules;2
AbstractType (1);mSmartGrid;number of nodes;7
AbstractType (1);mSmartGrid;number of edges;9
AbstractType (1);mSmartGrid;hypergraph size;25.3594000115385
AbstractType (1);mSmartGrid;hypergraph complexity;52.707266670993974
AbstractType (1);mSmartGrid;inter module coupling;16.000000000000004
AbstractType (1);mSmartGrid;graph cohesion;0.34640190387661784
Cluster (3);SmartGrid;number of modules;2
Cluster (3);SmartGrid;number of nodes;27
Cluster (3);SmartGrid;number of edges;46
Cluster (3);SmartGrid;hypergraph size;136.02346786357202
Cluster (3);SmartGrid;hypergraph complexity;234.68443542460386
Cluster (3);SmartGrid;inter module coupling;7.07518749639422
Cluster (3);SmartGrid;graph cohesion;0.06635858195043967
Cluster (3);mSmartGrid;number of modules;4
Cluster (3);mSmartGrid;number of nodes;18
Cluster (3);mSmartGrid;number of edges;26
Cluster (3);mSmartGrid;hypergraph size;82.11663380285988
Cluster (3);mSmartGrid;hypergraph complexity;118.6477618090443
Cluster (3);mSmartGrid;inter module coupling;19.268820952275362
Cluster (3);mSmartGrid;graph cohesion;0.08499228211387427
InputEntityState (1);SmartGrid;number of modules;2
InputEntityState (1);SmartGrid;number of nodes;21
InputEntityState (1);SmartGrid;number of edges;37
InputEntityState (1);SmartGrid;hypergraph size;99.51836303325427
InputEntityState (1);SmartGrid;hypergraph complexity;201.7644904886111
InputEntityState (1);SmartGrid;inter module coupling;9.0
InputEntityState (1);SmartGrid;graph cohesion;0.10137048296362705
InputEntityState (1);mSmartGrid;number of modules;4
InputEntityState (1);mSmartGrid;number of nodes;12
InputEntityState (1);mSmartGrid;number of edges;17
InputEntityState (1);mSmartGrid;hypergraph size;49.495613986748864
InputEntityState (1);mSmartGrid;hypergraph complexity;81.56151495416135
InputEntityState (1);mSmartGrid;inter module coupling;23.71626201026507
InputEntityState (1);mSmartGrid;graph cohesion;0.1498048530044726
NewCommEntity (1);SmartGrid;number of modules;1
NewCommEntity (1);SmartGrid;number of nodes;18
NewCommEntity (1);SmartGrid;number of edges;32
NewCommEntity (1);SmartGrid;hypergraph size;82.11663380285988
NewCommEntity (1);SmartGrid;hypergraph complexity;174.84931257357465
NewCommEntity (1);SmartGrid;inter module coupling;-1.0
NewCommEntity (1);SmartGrid;graph cohesion;0.12525176939778923
NewCommEntity (1);mSmartGrid;number of modules;2
NewCommEntity (1);mSmartGrid;number of nodes;8
NewCommEntity (1);mSmartGrid;number of edges;12
NewCommEntity (1);mSmartGrid;hypergraph size;29.89735285398626
NewCommEntity (1);mSmartGrid;hypergraph complexity;57.86656823250857
NewCommEntity (1);mSmartGrid;inter module coupling;13.575424759098894
NewCommEntity (1);mSmartGrid;graph cohesion;0.2765011553035163
NewPhysicalConn (2);SmartGrid;number of modules;1
NewPhysicalConn (2);SmartGrid;number of nodes;18
NewPhysicalConn (2);SmartGrid;number of edges;32
NewPhysicalConn (2);SmartGrid;hypergraph size;82.11663380285988
NewPhysicalConn (2);SmartGrid;hypergraph complexity;174.84931257357465
NewPhysicalConn (2);SmartGrid;inter module coupling;-1.0
NewPhysicalConn (2);SmartGrid;graph cohesion;0.12525176939778923
NewPhysicalConn (2);mSmartGrid;number of modules;3
NewPhysicalConn (2);mSmartGrid;number of nodes;14
NewPhysicalConn (2);mSmartGrid;number of edges;22
NewPhysicalConn (2);mSmartGrid;hypergraph size;60.0
NewPhysicalConn (2);mSmartGrid;hypergraph complexity;108.41805003750014
NewPhysicalConn (2);mSmartGrid;inter module coupling;66.14813571923571
NewPhysicalConn (2);mSmartGrid;graph cohesion;0.13899750004807707
