Scenario;Metamodel;Metric;Value
AbstractType;SmartGrid;number of modules;1
AbstractType;SmartGrid;number of nodes;18
AbstractType;SmartGrid;number of edges;32
AbstractType;SmartGrid;hypergraph size;82.11663380285988
AbstractType;SmartGrid;hypergraph complexity;174.84931257357465
AbstractType;SmartGrid;inter module coupling;-1.0
AbstractType;SmartGrid;graph cohesion;0.12525176939778923
AbstractType;mSmartGrid;number of modules;2
AbstractType;mSmartGrid;number of nodes;7
AbstractType;mSmartGrid;number of edges;9
AbstractType;mSmartGrid;hypergraph size;25.3594000115385
AbstractType;mSmartGrid;hypergraph complexity;52.707266670993974
AbstractType;mSmartGrid;inter module coupling;16.000000000000004
AbstractType;mSmartGrid;graph cohesion;0.34640190387661784
Cluster;SmartGrid;number of modules;2
Cluster;SmartGrid;number of nodes;27
Cluster;SmartGrid;number of edges;46
Cluster;SmartGrid;hypergraph size;136.02346786357202
Cluster;SmartGrid;hypergraph complexity;234.68443542460386
Cluster;SmartGrid;inter module coupling;7.07518749639422
Cluster;SmartGrid;graph cohesion;0.06635858195043967
Cluster;mSmartGrid;number of modules;4
Cluster;mSmartGrid;number of nodes;18
Cluster;mSmartGrid;number of edges;26
Cluster;mSmartGrid;hypergraph size;82.11663380285988
Cluster;mSmartGrid;hypergraph complexity;118.6477618090443
Cluster;mSmartGrid;inter module coupling;19.268820952275362
Cluster;mSmartGrid;graph cohesion;0.08499228211387427
InputEntityState;SmartGrid;number of modules;2
InputEntityState;SmartGrid;number of nodes;21
InputEntityState;SmartGrid;number of edges;37
InputEntityState;SmartGrid;hypergraph size;99.51836303325427
InputEntityState;SmartGrid;hypergraph complexity;201.7644904886111
InputEntityState;SmartGrid;inter module coupling;9.0
InputEntityState;SmartGrid;graph cohesion;0.10137048296362705
InputEntityState;mSmartGrid;number of modules;4
InputEntityState;mSmartGrid;number of nodes;12
InputEntityState;mSmartGrid;number of edges;17
InputEntityState;mSmartGrid;hypergraph size;49.495613986748864
InputEntityState;mSmartGrid;hypergraph complexity;81.56151495416135
InputEntityState;mSmartGrid;inter module coupling;23.71626201026507
InputEntityState;mSmartGrid;graph cohesion;0.1498048530044726
NewCommEntity;SmartGrid;number of modules;1
NewCommEntity;SmartGrid;number of nodes;18
NewCommEntity;SmartGrid;number of edges;32
NewCommEntity;SmartGrid;hypergraph size;82.11663380285988
NewCommEntity;SmartGrid;hypergraph complexity;174.84931257357465
NewCommEntity;SmartGrid;inter module coupling;-1.0
NewCommEntity;SmartGrid;graph cohesion;0.12525176939778923
NewCommEntity;mSmartGrid;number of modules;2
NewCommEntity;mSmartGrid;number of nodes;8
NewCommEntity;mSmartGrid;number of edges;12
NewCommEntity;mSmartGrid;hypergraph size;29.89735285398626
NewCommEntity;mSmartGrid;hypergraph complexity;57.86656823250857
NewCommEntity;mSmartGrid;inter module coupling;13.575424759098894
NewCommEntity;mSmartGrid;graph cohesion;0.2765011553035163
NewPhysicalConn;SmartGrid;number of modules;1
NewPhysicalConn;SmartGrid;number of nodes;18
NewPhysicalConn;SmartGrid;number of edges;32
NewPhysicalConn;SmartGrid;hypergraph size;82.11663380285988
NewPhysicalConn;SmartGrid;hypergraph complexity;174.84931257357465
NewPhysicalConn;SmartGrid;inter module coupling;-1.0
NewPhysicalConn;SmartGrid;graph cohesion;0.12525176939778923
NewPhysicalConn;mSmartGrid;number of modules;3
NewPhysicalConn;mSmartGrid;number of nodes;14
NewPhysicalConn;mSmartGrid;number of edges;22
NewPhysicalConn;mSmartGrid;hypergraph size;60.0
NewPhysicalConn;mSmartGrid;hypergraph complexity;108.41805003750014
NewPhysicalConn;mSmartGrid;inter module coupling;66.14813571923571
NewPhysicalConn;mSmartGrid;graph cohesion;0.13899750004807707
OutputEntityState;SmartGrid;number of modules;2
OutputEntityState;SmartGrid;number of nodes;27
OutputEntityState;SmartGrid;number of edges;46
OutputEntityState;SmartGrid;hypergraph size;136.02346786357202
OutputEntityState;SmartGrid;hypergraph complexity;234.68443542460386
OutputEntityState;SmartGrid;inter module coupling;7.07518749639422
OutputEntityState;SmartGrid;graph cohesion;0.06635858195043967
OutputEntityState;mSmartGrid;number of modules;4
OutputEntityState;mSmartGrid;number of nodes;18
OutputEntityState;mSmartGrid;number of edges;26
OutputEntityState;mSmartGrid;hypergraph size;82.11663380285988
OutputEntityState;mSmartGrid;hypergraph complexity;118.6477618090443
OutputEntityState;mSmartGrid;inter module coupling;19.26882095227537
OutputEntityState;mSmartGrid;graph cohesion;0.08499228211387427
ScenarioResult;SmartGrid;number of modules;2
ScenarioResult;SmartGrid;number of nodes;27
ScenarioResult;SmartGrid;number of edges;46
ScenarioResult;SmartGrid;hypergraph size;136.02346786357202
ScenarioResult;SmartGrid;hypergraph complexity;234.6844354246038
ScenarioResult;SmartGrid;inter module coupling;7.07518749639422
ScenarioResult;SmartGrid;graph cohesion;0.06635858195043966
ScenarioResult;mSmartGrid;number of modules;4
ScenarioResult;mSmartGrid;number of nodes;18
ScenarioResult;mSmartGrid;number of edges;26
ScenarioResult;mSmartGrid;hypergraph size;82.11663380285988
ScenarioResult;mSmartGrid;hypergraph complexity;118.6477618090443
ScenarioResult;mSmartGrid;inter module coupling;19.268820952275362
ScenarioResult;mSmartGrid;graph cohesion;0.08499228211387427
SmartMeter;SmartGrid;number of modules;1
SmartMeter;SmartGrid;number of nodes;18
SmartMeter;SmartGrid;number of edges;32
SmartMeter;SmartGrid;hypergraph size;82.11663380285988
SmartMeter;SmartGrid;hypergraph complexity;174.84931257357465
SmartMeter;SmartGrid;inter module coupling;-1.0
SmartMeter;SmartGrid;graph cohesion;0.12525176939778923
SmartMeter;mSmartGrid;number of modules;3
SmartMeter;mSmartGrid;number of nodes;14
SmartMeter;mSmartGrid;number of edges;22
SmartMeter;mSmartGrid;hypergraph size;60.0
SmartMeter;mSmartGrid;hypergraph complexity;108.41805003750011
SmartMeter;mSmartGrid;inter module coupling;66.14813571923571
SmartMeter;mSmartGrid;graph cohesion;0.13899750004807707
