Scenario;Metamodel;Metric;Value
IntBIIS;PCM;number of modules;29
IntBIIS;PCM;number of nodes;245
IntBIIS;PCM;number of edges;582
IntBIIS;PCM;hypergraph size;1955.2983389698315
IntBIIS;PCM;hypergraph complexity;1859.9650138417878
IntBIIS;PCM;inter module coupling;359.38937411038705
IntBIIS;PCM;graph cohesion;0.003898539308223404
IntBIIS;mPCM;number of modules;12
IntBIIS;mPCM;number of nodes;111
IntBIIS;mPCM;number of edges;194
IntBIIS;mPCM;hypergraph size;761.8600437905011
IntBIIS;mPCM;hypergraph complexity;611.257144910888
IntBIIS;mPCM;inter module coupling;175.07303712298824
IntBIIS;mPCM;graph cohesion;0.007274739896039878
KAMP;PCM;number of modules;21
KAMP;PCM;number of nodes;199
KAMP;PCM;number of edges;500
KAMP;PCM;hypergraph size;1530.2103382357868
KAMP;PCM;hypergraph complexity;1710.7829846287873
KAMP;PCM;inter module coupling;414.48726758699297
KAMP;PCM;graph cohesion;0.005646490478000171
KAMP;mPCM;number of modules;11
KAMP;mPCM;number of nodes;102
KAMP;mPCM;number of edges;175
KAMP;mPCM;hypergraph size;688.1452909685327
KAMP;mPCM;hypergraph complexity;576.3313104945278
KAMP;mPCM;inter module coupling;202.67381694368862
KAMP;mPCM;graph cohesion;0.008268187400000532
