Mode;Model;Resource;Metamodel;Util
Full;CoCoME1_pubgit;cloud-cocome-git.system cocome-cloud-git.repository;PCM;0.270935960591133
Full;CoCoME1_pubgit;cloud-cocome-git.system cocome-cloud-git.repository;mPCM;0.6046511627906976
Single;CoCoME1_pubgit;cloud-cocome-git.system;PCM;0.08866995073891626
Single;CoCoME1_pubgit;cloud-cocome-git.system;mPCM;0.4090909090909091
Single;CoCoME1_pubgit;cocome-cloud-git.repository;PCM;0.2660098522167488
Single;CoCoME1_pubgit;cocome-cloud-git.repository;mPCM;0.5930232558139535
Full;CoCoME2_kiana_svn;cocome-cloud.allocation cocome-cloud.repository cocome-cloud.resourceenvironment cocome-cloud.system;PCM;0.23645320197044334
Full;CoCoME2_kiana_svn;cocome-cloud.allocation cocome-cloud.repository cocome-cloud.resourceenvironment cocome-cloud.system;mPCM;0.6666666666666666
Single;CoCoME2_kiana_svn;cocome-cloud.allocation;PCM;0.024630541871921183
Single;CoCoME2_kiana_svn;cocome-cloud.allocation;mPCM;0.7142857142857143
Single;CoCoME2_kiana_svn;cocome-cloud.repository;PCM;0.14285714285714285
Single;CoCoME2_kiana_svn;cocome-cloud.repository;mPCM;0.6363636363636364
Single;CoCoME2_kiana_svn;cocome-cloud.resourceenvironment;PCM;0.034482758620689655
Single;CoCoME2_kiana_svn;cocome-cloud.resourceenvironment;mPCM;0.4117647058823529
Single;CoCoME2_kiana_svn;cocome-cloud.system;PCM;0.12315270935960591
Single;CoCoME2_kiana_svn;cocome-cloud.system;mPCM;0.44642857142857145
Full;CoCoME3_kiana_svn;cocome-cloud.allocation cocome-cloud.repository cocome-cloud.resourceenvironment cocome-cloud.system;PCM;0.23645320197044334
Full;CoCoME3_kiana_svn;cocome-cloud.allocation cocome-cloud.repository cocome-cloud.resourceenvironment cocome-cloud.system;mPCM;0.6666666666666666
Single;CoCoME3_kiana_svn;cocome-cloud.allocation;PCM;0.024630541871921183
Single;CoCoME3_kiana_svn;cocome-cloud.allocation;mPCM;0.7142857142857143
Single;CoCoME3_kiana_svn;cocome-cloud.repository;PCM;0.14285714285714285
Single;CoCoME3_kiana_svn;cocome-cloud.repository;mPCM;0.6363636363636364
Single;CoCoME3_kiana_svn;cocome-cloud.resourceenvironment;PCM;0.034482758620689655
Single;CoCoME3_kiana_svn;cocome-cloud.resourceenvironment;mPCM;0.4117647058823529
Single;CoCoME3_kiana_svn;cocome-cloud.system;PCM;0.12315270935960591
Single;CoCoME3_kiana_svn;cocome-cloud.system;mPCM;0.44642857142857145
Full;CoCoME4_max_svn;cocome-cloud.allocation cocome-cloud.repository cocome-cloud.resourceenvironment cocome-cloud.system;PCM;0.23645320197044334
Full;CoCoME4_max_svn;cocome-cloud.allocation cocome-cloud.repository cocome-cloud.resourceenvironment cocome-cloud.system;mPCM;0.6666666666666666
Single;CoCoME4_max_svn;cocome-cloud.allocation;PCM;0.024630541871921183
Single;CoCoME4_max_svn;cocome-cloud.allocation;mPCM;0.7142857142857143
Single;CoCoME4_max_svn;cocome-cloud.repository;PCM;0.14285714285714285
Single;CoCoME4_max_svn;cocome-cloud.repository;mPCM;0.6363636363636364
Single;CoCoME4_max_svn;cocome-cloud.resourceenvironment;PCM;0.034482758620689655
Single;CoCoME4_max_svn;cocome-cloud.resourceenvironment;mPCM;0.4117647058823529
Single;CoCoME4_max_svn;cocome-cloud.system;PCM;0.12315270935960591
Single;CoCoME4_max_svn;cocome-cloud.system;mPCM;0.44642857142857145
Full;CoCoME5_max_svn;cocome-cloud.allocation cocome-cloud.repository cocome-cloud.resourceenvironment cocome-cloud.system;PCM;0.23645320197044334
Full;CoCoME5_max_svn;cocome-cloud.allocation cocome-cloud.repository cocome-cloud.resourceenvironment cocome-cloud.system;mPCM;0.6666666666666666
Single;CoCoME5_max_svn;cocome-cloud.allocation;PCM;0.024630541871921183
Single;CoCoME5_max_svn;cocome-cloud.allocation;mPCM;0.7142857142857143
Single;CoCoME5_max_svn;cocome-cloud.repository;PCM;0.14285714285714285
Single;CoCoME5_max_svn;cocome-cloud.repository;mPCM;0.6363636363636364
Single;CoCoME5_max_svn;cocome-cloud.resourceenvironment;PCM;0.034482758620689655
Single;CoCoME5_max_svn;cocome-cloud.resourceenvironment;mPCM;0.4117647058823529
Single;CoCoME5_max_svn;cocome-cloud.system;PCM;0.12315270935960591
Single;CoCoME5_max_svn;cocome-cloud.system;mPCM;0.44642857142857145
Full;CoCoME6_ilknur_svn;cocome.allocation cocome.repository cocome.resourceenvironment cocome.system cocome.usagemodel cocomeTypes.repository;PCM;0.35960591133004927
Full;CoCoME6_ilknur_svn;cocome.allocation cocome.repository cocome.resourceenvironment cocome.system cocome.usagemodel cocomeTypes.repository;mPCM;0.5107913669064749
Single;CoCoME6_ilknur_svn;cocome.allocation;PCM;0.024630541871921183
Single;CoCoME6_ilknur_svn;cocome.allocation;mPCM;0.7142857142857143
Single;CoCoME6_ilknur_svn;cocome.repository;PCM;0.22660098522167488
Single;CoCoME6_ilknur_svn;cocome.repository;mPCM;0.4479166666666667
Single;CoCoME6_ilknur_svn;cocome.resourceenvironment;PCM;0.04926108374384237
Single;CoCoME6_ilknur_svn;cocome.resourceenvironment;mPCM;0.19607843137254902
Single;CoCoME6_ilknur_svn;cocome.system;PCM;0.10344827586206896
Single;CoCoME6_ilknur_svn;cocome.system;mPCM;0.4772727272727273
Single;CoCoME6_ilknur_svn;cocome.usagemodel;PCM;0.06403940886699508
Single;CoCoME6_ilknur_svn;cocome.usagemodel;mPCM;0.24528301886792453
Single;CoCoME6_ilknur_svn;cocomeTypes.repository;PCM;0.034482758620689655
Single;CoCoME6_ilknur_svn;cocomeTypes.repository;mPCM;0.21875
Full;MediaStore;ms.repository ms.resourceenvironment ms_audio_wm.allocation ms_audio_wm.system ms_audio_wm_distr.allocation ms_audio_wm_distr_replicas.allocation ms_audio_wm_replicas.system ms_audio_wm_replicas_usage_realistic.usagemodel ms_audio_wm_usage_all.usagemodel ms_audio_wm_usage_realistic.usagemodel ms_audio_wm_usage_realistic_3.usagemodel ms_base.allocation ms_base.system ms_base_usage_all.usagemodel ms_base_usage_realistic.usagemodel ms_cache.allocation ms_cache.system ms_cache_usage_all.usagemodel ms_cache_usage_realistic.usagemodel ms_distr_reenc.allocation ms_parallel_audio_wm_distr_replicas.allocation ms_parallel_audio_wm_replicas.system ms_parallel_audio_wm_replicas_usage_realistic.usagemodel;PCM;0.41379310344827586
Full;MediaStore;ms.repository ms.resourceenvironment ms_audio_wm.allocation ms_audio_wm.system ms_audio_wm_distr.allocation ms_audio_wm_distr_replicas.allocation ms_audio_wm_replicas.system ms_audio_wm_replicas_usage_realistic.usagemodel ms_audio_wm_usage_all.usagemodel ms_audio_wm_usage_realistic.usagemodel ms_audio_wm_usage_realistic_3.usagemodel ms_base.allocation ms_base.system ms_base_usage_all.usagemodel ms_base_usage_realistic.usagemodel ms_cache.allocation ms_cache.system ms_cache_usage_all.usagemodel ms_cache_usage_realistic.usagemodel ms_distr_reenc.allocation ms_parallel_audio_wm_distr_replicas.allocation ms_parallel_audio_wm_replicas.system ms_parallel_audio_wm_replicas_usage_realistic.usagemodel;mPCM;0.5222929936305732
Single;MediaStore;ms.repository;PCM;0.27586206896551724
Single;MediaStore;ms.repository;mPCM;0.4649122807017544
Single;MediaStore;ms.resourceenvironment;PCM;0.04926108374384237
Single;MediaStore;ms.resourceenvironment;mPCM;0.19607843137254902
Single;MediaStore;ms_audio_wm.allocation;PCM;0.024630541871921183
Single;MediaStore;ms_audio_wm.allocation;mPCM;0.7142857142857143
Single;MediaStore;ms_audio_wm.system;PCM;0.08866995073891626
Single;MediaStore;ms_audio_wm.system;mPCM;0.4090909090909091
Single;MediaStore;ms_audio_wm_distr.allocation;PCM;0.024630541871921183
Single;MediaStore;ms_audio_wm_distr.allocation;mPCM;0.7142857142857143
Single;MediaStore;ms_audio_wm_distr_replicas.allocation;PCM;0.024630541871921183
Single;MediaStore;ms_audio_wm_distr_replicas.allocation;mPCM;0.7142857142857143
Single;MediaStore;ms_audio_wm_replicas.system;PCM;0.08866995073891626
Single;MediaStore;ms_audio_wm_replicas.system;mPCM;0.4090909090909091
Single;MediaStore;ms_audio_wm_replicas_usage_realistic.usagemodel;PCM;0.10837438423645321
Single;MediaStore;ms_audio_wm_replicas_usage_realistic.usagemodel;mPCM;0.41509433962264153
Single;MediaStore;ms_audio_wm_usage_all.usagemodel;PCM;0.09359605911330049
Single;MediaStore;ms_audio_wm_usage_all.usagemodel;mPCM;0.3584905660377358
Single;MediaStore;ms_audio_wm_usage_realistic.usagemodel;PCM;0.10837438423645321
Single;MediaStore;ms_audio_wm_usage_realistic.usagemodel;mPCM;0.41509433962264153
Single;MediaStore;ms_audio_wm_usage_realistic_3.usagemodel;PCM;0.10837438423645321
Single;MediaStore;ms_audio_wm_usage_realistic_3.usagemodel;mPCM;0.41509433962264153
Single;MediaStore;ms_base.allocation;PCM;0.024630541871921183
Single;MediaStore;ms_base.allocation;mPCM;0.7142857142857143
Single;MediaStore;ms_base.system;PCM;0.08866995073891626
Single;MediaStore;ms_base.system;mPCM;0.4090909090909091
Single;MediaStore;ms_base_usage_all.usagemodel;PCM;0.09359605911330049
Single;MediaStore;ms_base_usage_all.usagemodel;mPCM;0.3584905660377358
Single;MediaStore;ms_base_usage_realistic.usagemodel;PCM;0.10837438423645321
Single;MediaStore;ms_base_usage_realistic.usagemodel;mPCM;0.41509433962264153
Single;MediaStore;ms_cache.allocation;PCM;0.024630541871921183
Single;MediaStore;ms_cache.allocation;mPCM;0.7142857142857143
Single;MediaStore;ms_cache.system;PCM;0.08866995073891626
Single;MediaStore;ms_cache.system;mPCM;0.4090909090909091
Single;MediaStore;ms_cache_usage_all.usagemodel;PCM;0.09359605911330049
Single;MediaStore;ms_cache_usage_all.usagemodel;mPCM;0.3584905660377358
Single;MediaStore;ms_cache_usage_realistic.usagemodel;PCM;0.10837438423645321
Single;MediaStore;ms_cache_usage_realistic.usagemodel;mPCM;0.41509433962264153
Single;MediaStore;ms_distr_reenc.allocation;PCM;0.024630541871921183
Single;MediaStore;ms_distr_reenc.allocation;mPCM;0.7142857142857143
Single;MediaStore;ms_parallel_audio_wm_distr_replicas.allocation;PCM;0.024630541871921183
Single;MediaStore;ms_parallel_audio_wm_distr_replicas.allocation;mPCM;0.7142857142857143
Single;MediaStore;ms_parallel_audio_wm_replicas.system;PCM;0.08866995073891626
Single;MediaStore;ms_parallel_audio_wm_replicas.system;mPCM;0.4090909090909091
Single;MediaStore;ms_parallel_audio_wm_replicas_usage_realistic.usagemodel;PCM;0.10837438423645321
Single;MediaStore;ms_parallel_audio_wm_replicas_usage_realistic.usagemodel;mPCM;0.41509433962264153
Full;MediaStore_EJBmox;internal_architecture_model.allocation internal_architecture_model.repository internal_architecture_model.resourceenvironment internal_architecture_model.system;PCM;0.2857142857142857
Full;MediaStore_EJBmox;internal_architecture_model.allocation internal_architecture_model.repository internal_architecture_model.resourceenvironment internal_architecture_model.system;mPCM;0.4628099173553719
Single;MediaStore_EJBmox;internal_architecture_model.allocation;PCM;0.024630541871921183
Single;MediaStore_EJBmox;internal_architecture_model.allocation;mPCM;0.7142857142857143
Single;MediaStore_EJBmox;internal_architecture_model.repository;PCM;0.22167487684729065
Single;MediaStore_EJBmox;internal_architecture_model.repository;mPCM;0.4375
Single;MediaStore_EJBmox;internal_architecture_model.resourceenvironment;PCM;0.03940886699507389
Single;MediaStore_EJBmox;internal_architecture_model.resourceenvironment;mPCM;0.13333333333333333
Single;MediaStore_EJBmox;internal_architecture_model.system;PCM;0.08866995073891626
Single;MediaStore_EJBmox;internal_architecture_model.system;mPCM;0.4090909090909091
