Scenario;Metamodel;Metric;Value
Arm (2);edu.kit.ipd.sdq.kamp;number of modules;9
Arm (2);edu.kit.ipd.sdq.kamp;number of nodes;118
Arm (2);edu.kit.ipd.sdq.kamp;number of edges;230
Arm (2);edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
Arm (2);edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942806
Arm (2);edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280306
Arm (2);edu.kit.ipd.sdq.kamp;graph cohesion;0.01108611934488319
Arm (2);mkamp;number of modules;17
Arm (2);mkamp;number of nodes;110
Arm (2);mkamp;number of edges;219
Arm (2);mkamp;hypergraph size;755.6163963483939
Arm (2);mkamp;hypergraph complexity;1059.4140043954021
Arm (2);mkamp;inter module coupling;884.5900731028373
Arm (2);mkamp;graph cohesion;0.01286286875550579
ConveyorBelt (5);edu.kit.ipd.sdq.kamp;number of modules;9
ConveyorBelt (5);edu.kit.ipd.sdq.kamp;number of nodes;118
ConveyorBelt (5);edu.kit.ipd.sdq.kamp;number of edges;230
ConveyorBelt (5);edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
ConveyorBelt (5);edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942806
ConveyorBelt (5);edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280294
ConveyorBelt (5);edu.kit.ipd.sdq.kamp;graph cohesion;0.01108611934488319
ConveyorBelt (5);mkamp;number of modules;11
ConveyorBelt (5);mkamp;number of nodes;60
ConveyorBelt (5);mkamp;number of edges;128
ConveyorBelt (5);mkamp;hypergraph size;363.2059749335994
ConveyorBelt (5);mkamp;hypergraph complexity;650.6529736835562
ConveyorBelt (5);mkamp;inter module coupling;535.6400128687401
ConveyorBelt (5);mkamp;graph cohesion;0.030362982065829842
DocuApplication (3);edu.kit.ipd.sdq.kamp;number of modules;10
DocuApplication (3);edu.kit.ipd.sdq.kamp;number of nodes;158
DocuApplication (3);edu.kit.ipd.sdq.kamp;number of edges;336
DocuApplication (3);edu.kit.ipd.sdq.kamp;hypergraph size;1164.1865670870911
DocuApplication (3);edu.kit.ipd.sdq.kamp;hypergraph complexity;1433.0694923028786
DocuApplication (3);edu.kit.ipd.sdq.kamp;inter module coupling;465.71719866159754
DocuApplication (3);edu.kit.ipd.sdq.kamp;graph cohesion;0.007840522661246265
DocuApplication (3);mkamp;number of modules;7
DocuApplication (3);mkamp;number of nodes;51
DocuApplication (3);mkamp;number of edges;134
DocuApplication (3);mkamp;hypergraph size;297.8518636372863
DocuApplication (3);mkamp;hypergraph complexity;572.4694855448693
DocuApplication (3);mkamp;inter module coupling;208.892198157895
DocuApplication (3);mkamp;graph cohesion;0.03843987937856268
EtherCATSlave (1);edu.kit.ipd.sdq.kamp;number of modules;9
EtherCATSlave (1);edu.kit.ipd.sdq.kamp;number of nodes;118
EtherCATSlave (1);edu.kit.ipd.sdq.kamp;number of edges;230
EtherCATSlave (1);edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
EtherCATSlave (1);edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
EtherCATSlave (1);edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280294
EtherCATSlave (1);edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883188
EtherCATSlave (1);mkamp;number of modules;12
EtherCATSlave (1);mkamp;number of nodes;68
EtherCATSlave (1);mkamp;number of edges;136
EtherCATSlave (1);mkamp;hypergraph size;422.9205281692027
EtherCATSlave (1);mkamp;hypergraph complexity;655.9826484303223
EtherCATSlave (1);mkamp;inter module coupling;542.4873035321743
EtherCATSlave (1);mkamp;graph cohesion;0.023150415137924887
HWPropagation (3);edu.kit.ipd.sdq.kamp;number of modules;12
HWPropagation (3);edu.kit.ipd.sdq.kamp;number of nodes;164
HWPropagation (3);edu.kit.ipd.sdq.kamp;number of edges;347
HWPropagation (3);edu.kit.ipd.sdq.kamp;hypergraph size;1216.881506172242
HWPropagation (3);edu.kit.ipd.sdq.kamp;hypergraph complexity;1695.2834493185965
HWPropagation (3);edu.kit.ipd.sdq.kamp;inter module coupling;708.0104615877364
HWPropagation (3);edu.kit.ipd.sdq.kamp;graph cohesion;0.004521929891143405
HWPropagation (3);mkamp;number of modules;9
HWPropagation (3);mkamp;number of nodes;48
HWPropagation (3);mkamp;number of edges;126
HWPropagation (3);mkamp;hypergraph size;276.54895329896146
HWPropagation (3);mkamp;hypergraph complexity;619.8562977622178
HWPropagation (3);mkamp;inter module coupling;328.5005694098709
HWPropagation (3);mkamp;graph cohesion;0.014522219638819344
ModifyMicroSwitch (1);edu.kit.ipd.sdq.kamp;number of modules;12
ModifyMicroSwitch (1);edu.kit.ipd.sdq.kamp;number of nodes;164
ModifyMicroSwitch (1);edu.kit.ipd.sdq.kamp;number of edges;347
ModifyMicroSwitch (1);edu.kit.ipd.sdq.kamp;hypergraph size;1216.881506172242
ModifyMicroSwitch (1);edu.kit.ipd.sdq.kamp;hypergraph complexity;1695.2834493185992
ModifyMicroSwitch (1);edu.kit.ipd.sdq.kamp;inter module coupling;708.010461587737
ModifyMicroSwitch (1);edu.kit.ipd.sdq.kamp;graph cohesion;0.004521929891143408
ModifyMicroSwitch (1);mkamp;number of modules;21
