Mode;Model;Resource;Metamodel;Util
Full;1;example1_simple.smartgridinput example1_simple.smartgridtopo example1_simple_example.smartgridoutput;Smartgrid;0.7333333333333333
Full;1;example1_simple.smartgridinput example1_simple.smartgridtopo example1_simple_example.smartgridoutput;mSmartgrid;0.8461538461538461
Single;1;example1_simple.smartgridinput;Smartgrid;0.1
Single;1;example1_simple.smartgridinput;mSmartgrid;1.0
Single;1;example1_simple.smartgridtopo;Smartgrid;0.4
Single;1;example1_simple.smartgridtopo;mSmartgrid;0.8571428571428571
Single;1;example1_simple_example.smartgridoutput;Smartgrid;0.23333333333333334
Single;1;example1_simple_example.smartgridoutput;mSmartgrid;0.7777777777777778
Full;2;example2.smartgridinput example2.smartgridtopo;Smartgrid;0.5666666666666667
Full;2;example2.smartgridinput example2.smartgridtopo;mSmartgrid;1.0
Single;2;example2.smartgridinput;Smartgrid;0.1
Single;2;example2.smartgridinput;mSmartgrid;1.0
Single;2;example2.smartgridtopo;Smartgrid;0.4666666666666667
Single;2;example2.smartgridtopo;mSmartgrid;1.0
Full;3;example3.smartgridinput example3.smartgridoutput example3.smartgridtopo;Smartgrid;0.7666666666666667
Full;3;example3.smartgridinput example3.smartgridoutput example3.smartgridtopo;mSmartgrid;0.8846153846153846
Single;3;example3.smartgridinput;Smartgrid;0.1
Single;3;example3.smartgridinput;mSmartgrid;1.0
Single;3;example3.smartgridoutput;Smartgrid;0.2
Single;3;example3.smartgridoutput;mSmartgrid;0.6666666666666666
Single;3;example3.smartgridtopo;Smartgrid;0.4666666666666667
Single;3;example3.smartgridtopo;mSmartgrid;1.0
Full;3_with_types;example3.smartgridinput example3.smartgridoutput example3.smartgridtopo example3_repo.smartgridtopo;Smartgrid;0.9
Full;3_with_types;example3.smartgridinput example3.smartgridoutput example3.smartgridtopo example3_repo.smartgridtopo;mSmartgrid;0.8235294117647058
Single;3_with_types;example3.smartgridinput;Smartgrid;0.1
Single;3_with_types;example3.smartgridinput;mSmartgrid;1.0
Single;3_with_types;example3.smartgridoutput;Smartgrid;0.2
Single;3_with_types;example3.smartgridoutput;mSmartgrid;0.6666666666666666
Single;3_with_types;example3.smartgridtopo;Smartgrid;0.4666666666666667
Single;3_with_types;example3.smartgridtopo;mSmartgrid;1.0
Single;3_with_types;example3_repo.smartgridtopo;Smartgrid;0.23333333333333334
Single;3_with_types;example3_repo.smartgridtopo;mSmartgrid;0.7272727272727273
Full;4_trivial;example4.smartgridinput example4.smartgridoutput example4.smartgridtopo;Smartgrid;0.7666666666666667
Full;4_trivial;example4.smartgridinput example4.smartgridoutput example4.smartgridtopo;mSmartgrid;0.8846153846153846
Single;4_trivial;example4.smartgridinput;Smartgrid;0.1
Single;4_trivial;example4.smartgridinput;mSmartgrid;1.0
Single;4_trivial;example4.smartgridoutput;Smartgrid;0.26666666666666666
Single;4_trivial;example4.smartgridoutput;mSmartgrid;0.8888888888888888
Single;4_trivial;example4.smartgridtopo;Smartgrid;0.4
Single;4_trivial;example4.smartgridtopo;mSmartgrid;0.8571428571428571
Full;5_simple;example5.smartgridinput example5.smartgridoutput example5.smartgridtopo;Smartgrid;0.8
Full;5_simple;example5.smartgridinput example5.smartgridoutput example5.smartgridtopo;mSmartgrid;0.9230769230769231
Single;5_simple;example5.smartgridinput;Smartgrid;0.1
Single;5_simple;example5.smartgridinput;mSmartgrid;1.0
Single;5_simple;example5.smartgridoutput;Smartgrid;0.3
Single;5_simple;example5.smartgridoutput;mSmartgrid;1.0
Single;5_simple;example5.smartgridtopo;Smartgrid;0.4
Single;5_simple;example5.smartgridtopo;mSmartgrid;0.8571428571428571
Full;5_simple_hacked;example5.smartgridinput example5.smartgridoutput example5.smartgridtopo;Smartgrid;0.7
Full;5_simple_hacked;example5.smartgridinput example5.smartgridoutput example5.smartgridtopo;mSmartgrid;0.8076923076923077
Single;5_simple_hacked;example5.smartgridinput;Smartgrid;0.1
Single;5_simple_hacked;example5.smartgridinput;mSmartgrid;1.0
Single;5_simple_hacked;example5.smartgridoutput;Smartgrid;0.2
Single;5_simple_hacked;example5.smartgridoutput;mSmartgrid;0.6666666666666666
Single;5_simple_hacked;example5.smartgridtopo;Smartgrid;0.4
Single;5_simple_hacked;example5.smartgridtopo;mSmartgrid;0.8571428571428571
Full;6_small;example6.smartgridinput example6.smartgridoutput example6.smartgridtopo;Smartgrid;0.7666666666666667
Full;6_small;example6.smartgridinput example6.smartgridoutput example6.smartgridtopo;mSmartgrid;0.8846153846153846
Single;6_small;example6.smartgridinput;Smartgrid;0.1
Single;6_small;example6.smartgridinput;mSmartgrid;1.0
Single;6_small;example6.smartgridoutput;Smartgrid;0.23333333333333334
Single;6_small;example6.smartgridoutput;mSmartgrid;0.7777777777777778
Single;6_small;example6.smartgridtopo;Smartgrid;0.43333333333333335
Single;6_small;example6.smartgridtopo;mSmartgrid;0.9285714285714286
Full;7;example7.smartgridtopo;Smartgrid;0.43333333333333335
Full;7;example7.smartgridtopo;mSmartgrid;0.9285714285714286
Full;7_logical;example7.smartgridtopo;Smartgrid;0.4666666666666667
Full;7_logical;example7.smartgridtopo;mSmartgrid;1.0
Full;8_paper;exmple8.smartgridtopo;Smartgrid;0.4666666666666667
Full;8_paper;exmple8.smartgridtopo;mSmartgrid;1.0
Full;9_cigre;cigre1.smartgridtopo;Smartgrid;0.43333333333333335
Full;9_cigre;cigre1.smartgridtopo;mSmartgrid;0.9285714285714286
